,Selected
7764,0
11014,0
3333,1
3332,1
11840,1
3843,1
2548,1
11469,0
3360,0
8369,0
5852,0
7199,0
3201,0
6570,1
9473,1
4335,1
11957,0
666,0
6188,0
7248,0
2881,0
5805,1
2254,1
4227,1
8004,0
10842,0
8536,0
7848,0
5356,0
2668,0
1145,0
868,1
9228,1
6105,1
9862,1
6163,1
8450,1
7068,1
540,1
1781,1
3489,1
12307,0
4873,0
9606,0
1672,0
7747,0
4814,0
9706,0
5355,0
3512,0
11956,0
11830,0
11291,0
5978,1
8857,0
1034,1
6786,0
1142,0
342,0
1221,0
12199,0
3901,0
10569,0
2420,0
4173,0
8563,0
12257,0
7073,0
5853,0
2204,0
7890,0
2377,0
11827,1
4201,1
12247,0
4005,0
6733,0
11528,0
12256,0
5103,0
845,0
9063,0
4423,0
6240,0
310,0
1430,0
6189,0
12214,0
11829,1
2563,0
9842,0
7794,0
6051,0
8171,0
3454,0
8125,0
5862,0
2623,0
10385,0
3411,0
