,Selected
7764,0
11014,1
3333,0
3332,0
11840,0
3843,0
2548,0
11469,0
3360,0
8369,0
5852,0
7199,0
3201,0
6570,0
9473,0
4335,0
11957,0
666,0
6188,0
7248,0
2881,0
5805,0
2254,0
4227,0
8004,0
10842,0
8536,0
7848,0
5356,0
2668,0
1145,0
868,0
9228,0
6105,0
9862,0
6163,0
8450,0
7068,0
540,1
1781,0
3489,0
12307,0
4873,1
9606,1
1672,0
7747,0
4814,0
9706,1
5355,0
3512,0
11956,0
11830,0
11291,0
5978,0
8857,0
1034,0
6786,0
1142,0
342,0
1221,0
12199,0
3901,0
10569,0
2420,0
4173,0
8563,0
12257,0
7073,0
5853,0
2204,0
7890,0
2377,0
11827,0
4201,0
12247,0
4005,0
6733,0
11528,1
12256,0
5103,0
845,0
9063,0
4423,0
6240,0
310,0
1430,0
6189,0
12214,0
11829,0
2563,0
9842,0
7794,0
6051,1
8171,0
3454,0
8125,0
5862,0
2623,0
10385,0
3411,0
