,Selected
6178,0
4027,0
86,0
2481,0
5053,0
4193,0
1611,1
1091,0
103,0
5118,0
698,0
6324,0
5866,0
4115,0
2005,0
5174,0
1372,0
5182,0
1054,0
6011,0
2127,0
5385,1
6724,0
1855,0
1666,0
6112,0
5197,0
5129,0
1692,1
2172,0
1200,1
1131,0
4049,1
5336,0
2042,1
3353,0
2595,0
2583,0
2091,1
2085,0
1109,0
2932,0
5076,0
4241,0
6492,0
4255,0
6605,0
5099,0
6027,0
1967,0
5881,0
3413,0
4462,1
265,0
5629,0
5966,0
993,0
3139,0
32,0
5594,0
2063,0
5647,0
1184,0
4291,1
4728,0
1817,1
1408,1
4331,0
2628,0
4075,0
2431,0
2900,0
1220,0
3623,1
5031,0
1644,0
1351,0
3863,0
4288,0
2539,0
4119,0
1270,0
4233,0
4066,0
554,1
2752,0
1715,0
6702,0
3118,1
2120,1
5132,0
2292,0
3214,0
6039,0
5292,0
833,0
6792,0
145,0
3992,0
6574,0
4733,0
4429,0
6328,0
5413,0
3393,0
1291,0
6813,0
2070,0
4157,0
202,0
2879,0
5005,0
4036,0
6623,0
1767,0
612,0
1897,0
6997,1
3608,0
6729,1
1545,0
5287,0
4371,0
2868,0
6475,0
6996,0
1083,0
6686,0
170,0
1055,0
6681,0
1914,0
982,0
6954,0
2538,0
501,0
2711,0
4687,0
1079,0
2516,0
3036,0
4740,0
2690,0
5040,0
1735,0
4677,0
3327,0
2412,0
6046,0
3249,1
2455,0
4702,1
6599,1
1499,0
5123,0
43,0
686,0
6463,0
1368,0
1621,0
3737,0
4452,0
4094,0
2242,0
5135,0
5897,0
6461,0
3615,0
465,0
5646,0
4735,0
3564,0
475,0
5318,0
444,0
3462,0
5551,0
6206,1
3722,0
6055,0
4866,0
3383,0
5131,1
5934,0
6376,0
301,1
2052,0
4286,0
4190,0
5312,0
5937,0
6435,0
1277,0
4120,0
5875,0
2150,1
1566,0
4262,0
957,0
3408,0
6235,0
765,0
2269,0
2572,0
2284,1
2487,0
6201,0
6836,0
6527,1
1242,1
943,0
3599,0
2021,0
5970,0
5124,0
6958,0
6204,0
1549,0
1694,0
2778,0
6337,0
5888,0
3734,0
2848,0
6881,0
836,0
6418,0
6693,0
6918,0
441,1
2987,0
4524,0
6674,0
5346,0
3926,0
5955,0
4618,0
2174,0
7046,0
1438,1
