,Selected
6178,0
4027,1
86,1
4193,0
1611,1
1666,1
698,1
2481,1
5197,1
2127,1
6574,1
5291,1
5970,1
4115,0
5182,1
103,1
5118,0
5053,1
1054,0
6324,0
1351,1
476,1
2258,1
529,0
4733,1
554,1
3103,0
5174,1
1200,1
7114,1
6563,0
1091,0
5099,1
139,1
2879,0
43,1
741,0
4618,1
2932,0
1855,1
2005,0
6836,0
4233,1
4577,0
2042,0
6724,0
1499,0
3608,1
2774,1
1372,1
3413,1
5934,0
833,0
1220,1
3118,1
686,1
2571,1
3298,0
7028,1
4141,1
6729,1
5129,1
3623,1
5385,0
5022,1
943,0
2802,1
5076,1
6059,0
4995,0
6784,0
348,0
6702,1
2426,1
6599,1
5067,1
6475,1
5504,0
2266,0
2063,0
6055,0
3372,1
4736,0
5594,1
1692,0
127,0
789,1
1970,1
6674,0
3045,1
4291,1
2120,1
1621,0
6041,0
3963,1
4121,1
4462,1
4255,1
2431,0
2091,0
