,Selected
1388,0
245,0
544,0
1953,1
1318,0
2161,0
186,0
1707,0
106,1
508,0
1954,0
1979,0
1073,0
1644,0
1193,0
606,0
1092,0
565,0
1065,0
866,0
841,0
2049,0
2302,0
2021,0
1426,0
1600,0
128,0
254,0
553,0
2045,0
1705,0
1206,0
181,0
1887,0
1352,1
1157,0
1722,0
1002,0
741,0
0,0
325,0
543,0
250,0
367,0
850,0
950,0
1771,0
337,0
1885,0
1523,0
822,0
152,0
2202,0
1294,0
1661,0
334,0
1607,0
755,0
2143,0
2158,0
107,0
173,0
1612,0
1798,0
574,0
909,0
2197,0
545,0
2234,0
2229,0
1893,0
84,0
1883,0
1895,0
835,0
379,0
845,1
1054,0
1923,0
476,0
1737,0
118,0
1104,0
255,0
1830,0
1914,0
1990,0
1081,0
936,0
247,0
1654,0
975,0
503,0
1109,1
443,0
818,0
1931,0
602,1
1625,0
787,0
836,0
243,0
1485,0
444,0
73,0
436,0
140,0
276,0
145,0
1488,0
849,0
432,0
335,0
1297,0
589,0
666,0
399,0
1715,0
718,0
819,0
2257,0
1576,0
798,0
229,0
1913,0
1158,0
1083,0
1326,1
2252,0
421,0
932,0
234,0
267,0
364,1
51,0
969,0
429,0
1386,0
782,0
611,0
347,0
165,0
122,1
32,0
230,0
164,0
1329,0
1496,0
1763,0
1973,0
1821,0
1006,0
649,0
509,1
1072,0
1141,0
837,0
150,0
155,0
1291,0
324,0
2247,0
1374,0
566,0
1516,0
1915,0
551,0
795,0
978,0
1941,0
187,0
256,0
1764,0
228,0
1620,0
480,0
235,0
416,0
1656,0
671,0
714,0
1633,0
2246,0
1794,0
570,0
757,0
1089,1
168,0
2275,0
1066,0
1672,0
1578,0
1278,0
1,0
2116,0
1769,0
377,0
1749,0
1999,0
799,0
1699,0
1833,0
1209,0
265,0
1729,0
1757,0
1385,0
1478,0
748,0
987,0
1750,0
878,0
2216,0
1977,0
1262,0
1521,0
557,0
2198,0
1111,0
1802,0
848,0
520,0
2031,0
970,0
1392,0
1755,0
638,0
1282,0
2145,0
1433,0
28,0
637,0
414,0
2165,0
1696,0
1376,0
216,0
1166,0
1008,0
449,0
53,0
26,0
687,0
1234,0
665,0
1098,0
864,1
1371,0
654,0
2300,0
83,0
1593,0
2082,0
760,0
860,0
441,0
802,0
1861,0
902,0
1520,0
275,0
656,0
1803,0
728,0
1759,0
1372,0
1605,0
1280,0
2074,0
752,0
8,0
1866,0
2014,0
521,0
1767,0
997,0
779,0
830,0
1872,0
730,0
2208,0
129,0
76,0
489,0
1910,0
1200,0
1244,0
2169,0
2167,0
1959,0
1084,0
260,0
33,0
2135,0
2126,0
1020,0
138,1
2041,0
1245,0
1991,0
134,0
1436,0
1730,0
464,0
1738,0
2156,0
371,0
531,0
694,0
35,0
735,0
482,0
2151,0
1745,0
1119,0
1535,0
1677,0
2080,0
2115,0
1416,0
839,0
1934,0
1290,0
1534,0
871,0
1324,0
278,0
2018,0
1950,0
1061,0
372,0
1628,0
1012,0
788,0
1207,0
1726,0
1442,1
1272,0
1088,1
1930,0
115,0
596,0
2240,0
88,0
2098,0
2199,0
811,0
670,0
982,0
706,0
1004,0
31,1
1413,0
96,0
681,0
1859,0
963,0
1524,0
2087,0
66,0
965,0
2278,0
1710,0
1075,0
1936,0
1010,0
628,0
1948,0
1495,0
2227,0
778,0
1670,0
1916,0
1186,1
572,0
827,0
383,0
1071,0
94,0
2284,0
1880,0
2048,0
170,0
1544,0
1271,0
1090,0
930,0
838,0
840,0
1648,0
1783,0
1125,0
1021,0
2131,0
740,0
1150,0
2206,0
1068,0
500,0
423,0
1976,0
846,0
1346,1
1015,0
1778,0
1847,0
1961,0
2105,0
2185,0
1422,0
1216,0
874,0
1124,0
498,0
1838,0
1748,0
1493,0
892,0
238,0
807,0
1594,0
121,0
237,0
1874,0
1251,0
126,0
2113,0
2160,1
448,0
1300,0
2052,0
905,0
890,0
25,0
1937,0
880,0
746,0
1026,0
678,0
1517,0
1265,0
1681,0
1827,0
1734,0
1032,0
1775,0
1226,0
313,0
1024,0
1196,0
288,0
2255,0
1316,0
736,0
1425,0
1774,1
1344,0
2095,0
2298,0
2277,0
1253,0
330,0
438,0
1452,0
588,1
1967,0
1796,0
1974,0
1716,0
1005,0
2272,0
1317,0
1862,0
647,0
1338,0
1296,0
2162,0
1334,0
2008,0
642,0
1314,0
2274,0
1562,0
744,0
1298,0
246,0
869,0
1820,0
1746,0
382,0
453,0
1377,0
585,0
1077,0
1350,0
1886,0
1911,0
311,0
2061,0
1022,0
42,0
1203,0
1586,1
1881,0
1115,0
1069,0
1275,0
2295,0
713,0
1692,0
1853,0
1650,0
1027,0
261,0
1980,0
1142,0
452,0
2155,0
290,0
1858,0
36,0
527,0
2103,0
1003,0
1165,0
853,0
1884,0
468,0
1637,0
472,0
1243,0
425,0
1928,0
2174,0
63,0
435,0
962,0
1956,0
915,0
1486,0
660,0
1048,0
2166,0
1642,0
854,0
1197,0
1323,0
1041,0
14,0
829,0
1819,0
1138,0
1457,0
501,0
517,0
136,0
473,0
1029,0
750,0
554,0
641,0
761,0
979,0
1412,0
1267,0
1809,0
158,0
1852,0
1087,0
1273,0
2294,0
200,0
727,0
1583,0
75,0
1689,0
1085,1
1770,0
1631,0
213,0
1727,0
1236,1
1791,0
2301,0
2218,0
1347,0
1031,0
1555,0
617,0
973,0
1879,0
584,0
2081,0
2104,0
1434,0
1173,0
1846,0
1067,0
1395,0
721,0
904,0
2139,0
1399,0
87,0
363,0
2094,0
120,0
1929,0
1497,0
1383,0
1045,0
972,0
285,0
1747,0
1873,0
613,1
1359,0
2157,0
1875,0
1595,0
1038,0
1285,0
1400,0
1463,0
1202,1
360,0
257,0
1342,1
1609,0
479,0
2025,0
358,0
1212,0
2060,0
1122,0
872,0
767,0
1370,0
1214,0
2225,0
1984,0
813,0
2015,0
1753,0
2141,0
1742,0
1256,0
634,0
668,0
906,0
1765,0
262,0
1121,0
80,0
790,0
1178,0
707,0
184,0
1828,0
1840,0
1647,0
1969,0
1665,0
1697,0
123,0
625,0
1235,0
2226,0
1943,0
732,0
215,0
16,0
1898,0
1623,0
994,0
1384,0
189,0
376,0
805,0
434,0
2100,0
1717,0
55,0
1701,0
510,0
1435,0
1113,0
1286,0
85,0
312,1
796,0
77,0
1537,0
1799,0
1962,0
1777,0
971,0
204,0
1046,0
1284,0
1812,0
532,0
603,0
212,0
373,0
1459,0
1735,0
1685,0
1832,0
1564,0
636,0
1908,0
1506,0
1541,0
1185,0
1842,0
422,0
1263,0
1669,0
1660,0
2137,0
79,1
1487,0
1163,0
1831,0
2293,0
964,0
1987,0
1581,0
2123,0
375,0
289,0
2,0
870,0
1319,0
934,0
1303,0
664,0
1553,0
1035,0
157,0
793,0
1381,0
743,0
992,0
635,0
2258,0
1232,0
2212,0
929,0
3,0
179,0
1978,0
1219,0
147,0
1703,0
1465,0
2239,0
1159,0
2175,0
921,0
724,0
605,0
1224,0
1789,0
1059,0
2290,0
332,0
2230,0
1909,0
1580,0
770,0
1308,1
1100,0
1393,0
153,0
1626,0
981,0
1391,0
1906,0
2017,0
1492,0
1786,0
2127,0
1220,0
70,0
1741,0
240,0
1464,0
277,0
1105,0
1813,0
1706,0
93,0
195,0
1164,0
280,0
1900,0
193,0
89,0
396,0
1468,0
308,0
1610,0
1732,0
359,0
1240,0
2046,0
2288,0
1260,0
1606,0
2076,0
2066,0
112,0
320,0
49,0
560,0
108,0
450,0
1404,0
314,0
552,0
1733,0
1195,0
1865,0
1242,0
1418,0
1448,0
1208,0
831,0
631,0
1963,0
81,0
966,0
1299,0
1655,0
1148,0
176,0
1688,0
271,0
581,0
2296,0
218,0
454,0
1249,0
2221,0
1503,0
1099,0
1601,0
1512,0
2040,0
259,0
1723,0
1484,0
2119,0
844,0
1713,0
428,1
1643,0
2039,0
124,0
1415,0
629,1
1964,0
191,0
884,0
1761,0
599,0
604,0
1016,0
639,0
1257,0
370,0
407,0
21,0
644,0
1421,0
1890,0
2124,0
1882,0
2204,0
4,0
1402,0
1709,0
1657,0
593,0
284,0
67,0
2192,0
461,0
1944,0
1636,0
701,0
1453,0
1676,0
1093,0
1382,0
1289,0
1007,1
1686,0
1170,0
18,0
919,0
1094,0
1807,0
1889,0
912,0
797,0
420,0
487,0
1365,0
1823,0
2260,0
1389,0
57,0
1849,0
1598,0
1419,0
15,0
1965,1
166,0
44,0
881,0
2299,0
1901,0
742,0
1451,0
1955,0
1466,0
794,0
1569,0
1894,0
1420,0
1740,0
1223,0
2289,0
1781,0
2195,0
408,0
357,0
1907,0
729,0
339,0
1281,0
24,0
1184,0
386,0
1509,0
1001,0
652,1
1229,0
2013,0
1510,0
1134,0
940,1
1810,1
418,0
1834,0
1805,0
484,0
942,0
858,0
1530,0
221,0
241,0
800,0
759,0
1000,0
1565,0
2232,0
820,1
1205,0
1855,0
1056,0
1760,0
2117,0
1378,0
1221,0
1364,0
1237,0
1627,0
1538,0
1330,0
2233,0
559,0
968,0
1176,0
777,0
253,0
1843,0
1845,0
206,0
900,0
1690,0
1675,0
1194,1
1921,0
661,0
601,0
293,1
