,Selected
1388,0
245,0
1954,1
186,0
106,0
544,0
2161,1
2049,0
1953,0
1318,0
1193,0
508,0
2045,0
1002,0
1644,0
128,1
866,0
553,0
1707,0
1887,0
1895,0
337,1
1054,0
1157,0
1722,0
602,1
1,0
1798,0
2021,0
1092,0
1073,0
606,1
1600,0
1979,0
841,0
1612,0
173,1
1352,0
181,0
1206,0
2229,0
1910,0
1065,0
1523,0
235,0
1923,0
2158,0
1705,0
0,0
565,1
2143,1
1931,1
741,0
950,0
152,0
818,0
1426,1
909,0
1885,0
822,0
1326,0
1830,0
1763,0
1661,0
543,0
2302,0
1294,0
379,0
254,0
1883,0
845,0
187,0
1737,0
2202,0
432,0
255,0
238,0
969,1
975,0
2116,0
335,0
250,0
649,0
1607,0
1195,0
107,0
1771,0
2198,0
2197,0
878,0
229,0
1109,0
850,0
436,0
718,0
2234,0
760,0
1433,0
752,1
1197,0
