样本,class
1,b'2'
2,b'2'
3,b'2'
4,b'2'
5,b'2'
6,b'2'
7,b'2'
8,b'2'
9,b'2'
10,b'2'
11,b'2'
12,b'2'
13,b'2'
14,b'2'
15,b'2'
16,b'2'
17,b'2'
18,b'2'
19,b'2'
20,b'2'
21,b'2'
22,b'2'
23,b'2'
24,b'2'
25,b'2'
26,b'2'
27,b'2'
28,b'2'
29,b'2'
30,b'2'
31,b'2'
32,b'1'
33,b'1'
34,b'1'
35,b'1'
36,b'1'
37,b'1'
38,b'1'
39,b'1'
40,b'1'
41,b'1'
42,b'1'
43,b'1'
44,b'1'
45,b'1'
46,b'1'
47,b'1'
48,b'1'
49,b'1'
50,b'1'
51,b'1'
52,b'1'
53,b'1'
54,b'1'
55,b'1'
56,b'1'
57,b'1'
58,b'1'
59,b'1'
60,b'1'
61,b'1'
62,b'1'
63,b'1'
64,b'1'
65,b'1'
66,b'1'
67,b'1'
68,b'1'
69,b'1'
70,b'1'
71,b'1'
72,b'1'
73,b'1'
74,b'1'
75,b'1'
76,b'1'
77,b'1'
78,b'1'
79,b'1'
80,b'1'
81,b'1'
82,b'1'
83,b'1'
84,b'1'
85,b'1'
86,b'1'
87,b'1'
88,b'1'
89,b'1'
90,b'1'
91,b'1'
92,b'1'
93,b'1'
94,b'1'
95,b'1'
96,b'1'
97,b'1'
98,b'1'
99,b'1'
100,b'1'
101,b'1'
102,b'1'
103,b'1'
104,b'1'
105,b'1'
106,b'1'
107,b'1'
108,b'1'
109,b'1'
110,b'1'
111,b'1'
112,b'1'
113,b'1'
114,b'1'
115,b'1'
116,b'1'
117,b'1'
118,b'1'
119,b'1'
120,b'1'
121,b'1'
122,b'1'
123,b'1'
124,b'1'
125,b'1'
126,b'1'
127,b'1'
128,b'1'
129,b'1'
130,b'1'
131,b'1'
132,b'1'
133,b'1'
134,b'1'
135,b'1'
136,b'1'
137,b'1'
138,b'1'
139,b'1'
140,b'1'
141,b'1'
142,b'1'
143,b'1'
144,b'1'
145,b'1'
146,b'1'
147,b'1'
148,b'1'
149,b'1'
150,b'1'
151,b'1'
152,b'1'
153,b'1'
154,b'1'
155,b'1'
156,b'1'
157,b'1'
158,b'1'
159,b'1'
160,b'1'
161,b'1'
162,b'1'
163,b'1'
164,b'1'
165,b'1'
166,b'1'
167,b'1'
168,b'1'
169,b'1'
170,b'1'
171,b'1'
172,b'1'
173,b'1'
174,b'1'
175,b'1'
176,b'1'
177,b'1'
178,b'1'
179,b'1'
180,b'1'
181,b'1'
